,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
21,14.0,0.0,60,Inconel,22,-0.1958025813797522,0.19255022235100974,1.0360012286948983,28.756728000000006,17.254036799999998,0.04,-0.19580258137975234,0.013175659139717038,1.0360012286948983,1.852394777657428,1.8523947776574294,2.0161663246463926,0.284458102151621,1.9069852933204168,0.17916300026500498
24,14.0,0.0,60,Inconel,28,-0.18460232453443287,0.20915916498376552,1.5940012984875558,36.599472000000006,21.959683200000004,0.06,-0.1846023245344329,0.01530842974197352,1.594001298487556,1.8672615271219497,1.86726152712195,1.9953417290950368,0.47490246789836554,1.9099549277796453,-0.32842303691230357
38,14.0,0.0,60,Titanium,30,-0.18653207338360925,1.1713355473922435,4.0,21.210840000000005,23.331924000000008,0.02,-0.18653207338360922,-0.20101496361490362,4.000000000000001,1.8775549932264286,1.8775549932264204,1.8755764782999371,1.2041509876671628,1.8768954882509288,-2.33142732128767
57,14.0,0.0,70,Inconel,16,-0.0847097296057759,0.16339196272094397,0.6420407839405382,24.399648000000006,14.639788800000003,0.22,-0.08470972960577601,0.010200920022164786,0.6420407839405382,1.5490653791610864,1.549065379161085,2.2275658474368965,0.1891773247856423,1.7752322019196896,0.3846791734171318
58,14.0,0.0,70,Inconel,18,-0.08085812581260696,0.16828759533225565,0.8513404026417909,27.449604,16.469762400000004,0.2,-0.08085812581260698,0.01128880922323012,0.8513404026417908,1.6524484703402924,1.6524484703402884,2.1794421253790164,0.2605903620174713,1.8281130220198658,0.2202728423577393
59,14.0,0.0,70,Inconel,20,-0.07417724068170936,0.17677942389916534,1.049000204901712,30.499560000000002,18.299736,0.22,-0.07417724068170947,0.010632592285871306,1.0490002049017122,1.676661723043396,1.6766617230434016,2.2832169305856027,0.328485185501958,1.8788467922241334,0.023309174557761714
60,14.0,0.0,70,Inconel,22,-0.051542841585146944,0.2055491801630631,1.2512923132639904,33.54951600000001,20.129709599999998,0.3,-0.05154284158514697,0.01421298301757028,1.2512923132639906,1.654001729395751,1.6540017293957507,2.3002915898339795,0.4046541515654713,1.8694316828751605,-0.19386700892248332
61,14.0,0.0,70,Inconel,24,-0.08775325352301627,0.15952345086388983,1.4477549985705418,36.599472000000006,21.959683200000004,0.26,-0.08775325352301627,0.010403177062299627,1.4477549985705422,1.5658326239665648,1.5658326239665648,2.214968000265984,0.45680164070327517,1.7822110827330377,-0.3558751832133332
62,14.0,0.0,70,Inconel,26,-0.06641313787576192,0.18664809080664585,1.672209325785169,39.649428,23.789656800000007,0.28,-0.0664131378757619,0.012177619019007989,1.6722093257851685,1.4560102726122244,1.4560102726122222,2.042661307415997,0.5393246023094715,1.6515606175468145,-0.5608416485769019
63,14.0,0.0,70,Inconel,28,-0.08776601328749367,0.15950723239427486,1.872206237578172,42.699384,25.619630400000002,0.22,-0.08776601328749375,0.00928858512840281,1.8722062375781718,1.5009947862625466,1.500994786262543,2.094103579462151,0.5979096031396937,1.69869771732908,-0.7010990886697622
64,14.0,0.0,70,Inconel,30,-0.08713157903230967,0.16031363855550068,2.076114735935767,45.749340000000004,27.449603999999994,0.26,-0.08713157903230975,0.010995349705035528,2.0761147359357666,1.5352434726514081,1.5352434726514088,1.9683516054607522,0.6666595022028308,1.6796128502545231,-0.9472591096172893
70,14.0,0.0,70,Titanium,16,-0.10371207110216141,1.0506298074882583,1.666666666666667,13.197856000000002,14.517641600000005,0.2,-0.1037120711021613,-0.21233902287695064,1.6666666666666663,1.629826388640048,1.6298263886400484,2.355460110462338,0.4502051908958515,1.8717042959141448,-0.3131856801439129
71,14.0,0.0,70,Titanium,18,-0.07887445188716766,1.1074561471801707,2.0,14.847588,16.332346800000003,0.28,-0.07887445188716752,-0.20652850386199506,2.0,1.5424801992224468,1.5424801992224437,2.101449497995234,0.5715323480836124,1.728803298813375,-0.6465626663799707
